user_id,date,time_from,duration_h,field_no,updated_at
U2025102998427bb1d2b645e6a3aaadd6,2025-12-10,18:00,1,5,2025-12-10 10:28:55
U6ac2fcd8621eb1d87be14f636213eb2f,2025-11-29,17:00,1,5,2025-11-29 17:15:44
U03b32d0823ff8bb61a3cddc2186ebd53,2025-11-29,21:00,,6,2025-11-29 12:55:18
Ua636ab14081b483636896549d2026398,2026-01-13,18:00,1,4,2026-01-13 09:33:10
Uf5d3d661f3d0a7150a814471e1a3adad,2025-12-17,17:00,1,4,2025-12-17 10:51:12
